Title,Year,Critic_score,Audience_score,Title_category,Rating,Runtime,URL,Poster_URL
White Boy,2017,NR,80,Documentary/Drama,NR,1h 22m,https://www.rottentomatoes.com/m/white_boy_2017,https://resizing.flixster.com/MPVItR7XUhLsXNyvEq8wlOFpGYU=/206x305/v2/https://resizing.flixster.com/Bh_4Rlh8IYNKJxWboAzKotm1wSQ=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2NlNTEzYzUwLWQ3NTktNDU3My04YTMxLTdjNmViYTZmNDcxNy53ZWJw
White Boy Rick,2018,57,50,Biography/Drama,R,1h 51m,https://www.rottentomatoes.com/m/white_boy_rick,https://resizing.flixster.com/eu1M-NeNDfJhiJgzflDgV9POLM0=/206x305/v2/https://resizing.flixster.com/sWNaZtwjxc4omlDrQecxzVdiuDI=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzVmYmJmYTA0LWYwYzAtNDhmMy1hMDcyLTIxZjlkNjgxYzZiOC53ZWJw
White Black Boy,2012,NR,NR,Documentary,NR,,https://www.rottentomatoes.com/m/sort_hvid_dreng,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
White Boy,2002,NR,17,Drama/Crime,R,1h 33m,https://www.rottentomatoes.com/m/white_boy,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Thunder Force,2021,22,22,Adventure/Comedy,PG-13,1h 47m,https://www.rottentomatoes.com/m/thunder_force,https://resizing.flixster.com/xyUi8l6oi8InL8aV7vCqlEJQmv4=/206x305/v2/https://resizing.flixster.com/gGuY6G6QZ0VKiUE6FyULpU5VPtw=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2Y2MGFmNThkLTJhZmYtNDg1MC04MWQ3LTI3ZDA3OWFlMGM0Ni5qcGc=
Two Distant Strangers,2020,92,67,Drama,NR,29m,https://www.rottentomatoes.com/m/two_distant_strangers,https://resizing.flixster.com/yJXxvtdzAeTlXoddNCRDv_I7gvo=/206x305/v2/https://flxt.tmsimg.com/assets/p19666106_p_v10_aa.jpg
The Stand In,2020,30,20,Romance,R,1h 41m,https://www.rottentomatoes.com/m/the_stand_in_2020,https://resizing.flixster.com/VVJyeMDtH5xebIdpnACiW6-4OR8=/206x305/v2/https://resizing.flixster.com/yGH4Gpb2bpe_RRZXPg8DRBpSuS8=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2Q5MGRhZjE3LTBkMGYtNDY1MC05MmU1LTgwMjY2YjA1N2RmOS5qcGc=
New Gods: Nezha Reborn,2021,NR,74,Animation/Fantasy,NR,1h 56m,https://www.rottentomatoes.com/m/new_gods_nezha_reborn,https://resizing.flixster.com/xGkRLSM1_EvGMJd5xTeaDU1TlSg=/206x305/v2/https://flxt.tmsimg.com/assets/p19674941_p_v8_aa.jpg
Ghost in the Shell Arise: Border 4 -- Ghost Stands Alone,2014,NR,61,Sci fi/Action,NR,58m,https://www.rottentomatoes.com/m/ghost_in_the_shell_arise_border_4_ghost_stands_alone,https://resizing.flixster.com/-3TVbnP9GMqwI715zorRZoHxCsM=/206x305/v2/https://flxt.tmsimg.com/assets/p11137605_p_v13_ab.jpg
Uppercase Print,2020,67,NR,Drama,NR,2h 8m,https://www.rottentomatoes.com/m/uppercase_print,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
The Soul,2021,NR,77,Sci fi/Crime,NR,2h 5m,https://www.rottentomatoes.com/m/the_soul,https://resizing.flixster.com/uGCtbnzo1CTGpgOQ8_RarHU5e6Y=/206x305/v2/https://resizing.flixster.com/dVA_MTqhOE5IUTm91yte0Gb9hhM=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzM0ZTNhZGEwLTc0MmItNGI2Yi05ZWE0LTgxODI3ZDZiZWJjMS5qcGc=
Why Did You Kill Me?,2021,70,32,Crime/Documentary,NR,1h 23m,https://www.rottentomatoes.com/m/why_did_you_kill_me,https://resizing.flixster.com/ysKrZIBfanb5yubQ2U0VZOrim6Q=/206x305/v2/https://resizing.flixster.com/cC5AEjN2SB1tqevS8wHi1Sc5Mac=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzE2MTg1OTkzLWNiZWQtNDkyOS04OGE5LTFjMGJhYzg1MDFiNy5qcGc=
Dark City Beneath the Beat,2020,100,83,Documentary,NR,,https://www.rottentomatoes.com/m/dark_city_beneath_the_beat,https://resizing.flixster.com/Gz9tG3hi4C3BY52ffZeYq3--I14=/206x305/v2/https://resizing.flixster.com/L-5NaO7OV2FcYT_9_NxtiXmEM8s=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzRiYjA5YzE2LWIxNmYtNGQyNy1iZjUwLWRhOTI5MTdlNTI2Zi5qcGc=
